Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
,,,0:18:11,0:00:55,19.84,,0:00:54,20.21,,,,
,,50GB,0:39:11,0:01:19,29.76,,0:01:20,29.39,,,,
,,,0:39:18,0:01:24,28.07,,0:01:21,29.11,,,,
,,75GB,0:58:55,0:01:50,32.13,,0:01:49,32.43,,,,
,,,0:59:04,0:01:50,32.21,,0:01:48,32.81,,,,
,Histogram,25GB,0:09:34,0:01:34,6.11,7.48,0:00:47,12.21,,,,
,,,0:09:38,0:01:39,5.84,,0:00:49,11.79,,,,
,,50GB,0:19:06,0:02:43,7.03,,0:01:13,15.7,,,,
,,,0:19:06,0:02:48,6.82,,0:01:13,15.69,,,,
,,75GB,0:28:40,0:03:50,7.48,,0:01:43,16.7,,,,
,,,0:28:32,0:03:55,7.28,,0:01:42,16.78,,,,
BigLambda,Cycling Speed,25GB,0:24:21,0:01:12,20.29,32.06,0:01:08,21.48,,,,
,,,0:24:24,0:01:08,21.53,,0:01:09,21.22,,,,
,,50GB,0:58:46,0:01:50,32.06,,0:01:48,32.65,,,,
,,,0:58:42,0:01:51,31.73,,0:01:51,31.73,,,,
,,75GB,1:23:01,0:02:38,31.53,,0:02:31,32.99,,,,
,,,1:23:06,0:02:38,31.56,,0:02:37,31.76,,,,
,Yelp Kids,25GB,0:12:19,0:01:05,11.38,17.23,0:01:05,11.38,,,,
,,,0:12:20,0:01:04,11.56,,0:01:07,11.04,,,,
,,50GB,0:24:40,0:01:34,15.74,,0:01:42,14.51,,,,
,,,0:24:41,0:01:36,15.43,,0:01:41,14.67,,,,
,,75GB,0:37:00,0:02:10,17.08,,0:02:20,15.86,,,,
,,,0:37:02,0:02:09,17.23,,0:02:24,15.43,,,,
,WikiPageCount,25GB,0:26:30,0:01:18,20.39,26.42,0:01:24,18.93,,,,
,,,0:25:56,0:01:14,21.03,,0:01:19,19.7,,,,
,,50GB,0:50:28,0:01:59,25.45,,0:02:00,25.24,,,,
,,,0:50:46,0:02:03,24.76,,0:02:00,25.38,,,,
,,75GB,1:15:45,0:02:52,26.42,,0:03:01,25.11,,,,
,,,1:16:03,0:02:56,25.93,,0:02:51,26.69,,,,
,Shakespear Sentiment,25GB,0:07:50,0:00:51,9.21,13.04,0:00:48,9.79,,,,
,,,0:07:43,0:00:50,9.27,,0:00:46,10.07,,,,
,,50GB,0:15:21,0:01:16,12.11,,0:01:17,11.96,,,,
,,,0:15:33,0:01:17,12.12,,0:01:15,12.44,,,,
,,75GB,0:23:09,0:01:47,12.98,,0:01:47,12.98,,,,
,,,0:23:16,0:01:47,13.04,,0:01:45,13.29,,,,
,Database Select,25GB,0:08:46,0:00:43,12.22,21.36,0:00:46,11.43,,,,
,,,0:08:51,0:00:46,11.55,,0:00:40,13.29,,,,
,,50GB,0:17:02,0:00:54,18.93,,0:01:00,17.04,,,,
,,,0:17:11,0:00:54,19.09,,0:01:01,16.9,,,,
,,75GB,0:25:38,0:01:12,21.36,,0:01:14,20.78,,,,
,,,0:25:40,0:01:16,20.26,,0:01:15,20.53,,,,
,Extract Hashtag,25GB,0:08:19,0:00:41,12.17,18.26,0:00:41,12.17,,,,
,,,0:08:12,0:00:43,11.44,,0:00:40,12.3,,,,
,,50GB,0:16:33,0:00:58,17.12,,0:00:58,17.12,,,,
,,,0:16:55,0:01:03,16.11,,0:00:59,17.2,,,,
,,75GB,0:23:44,0:01:18,18.26,,0:01:12,19.78,,,,
,,,0:23:09,0:01:24,16.54,,0:01:10,19.84,,,,
Ariths,Sum,25GB,0:09:47,0:00:51,11.52,15.73,0:00:51,11.52,,,,
,,,0:09:42,0:00:51,11.42,,0:00:54,10.79,,,,
,,50GB,0:19:29,0:01:20,14.61,,0:01:22,14.25,,,,
,,,0:19:24,0:01:19,14.74,,0:01:22,14.2,,,,
,,75GB,0:29:22,0:01:52,15.73,,0:01:53,15.59,,,,
,,,0:29:13,0:01:52,15.65,,0:01:50,15.93,,,,
,Count,25GB,0:07:51,0:00:51,9.23,12.62,0:00:48,9.8,,,,
,,,0:07:45,0:00:54,8.61,,0:00:51,9.12,,,,
,,50GB,0:15:51,0:01:23,11.45,,0:01:16,12.51,,,,
,,,0:15:22,0:01:21,11.38,,0:01:16,12.13,,,,
,,75GB,0:23:32,0:01:53,12.49,,0:01:47,13.19,,,,
,,,0:23:46,0:01:53,12.62,,0:01:46,13.45,,,,
,Conditional Sum,25GB,0:09:44,0:01:02,9.42,12.94,0:00:50,11.68,,,,
,,,0:09:41,0:01:02,9.36,,0:00:52,11.16,,,,
,,50GB,0:19:23,0:01:40,11.63,,0:01:21,14.36,,,,
,,,0:19:20,0:01:38,11.84,,0:01:19,14.68,,,,
,,75GB,0:29:19,0:02:16,12.94,,0:01:52,15.71,,,,
,,,0:29:29,0:02:20,12.63,,0:01:49,16.23,,,,
,Conditional Count,25GB,0:09:42,0:01:00,9.69,13.03,0:00:49,11.87,,,,
,,,0:09:45,0:01:02,9.44,,0:00:50,11.71,,,,
,,50GB,0:19:23,0:01:40,11.63,,0:01:21,14.36,,,,
,,,0:19:22,0:01:41,11.51,,0:01:21,14.35,,,,
,,75GB,0:29:19,0:02:15,13.03,,0:01:54,15.43,,,,
,,,0:29:20,0:02:16,12.94,,0:01:51,15.86,,,,
,Average,25GB,0:09:42,0:00:56,10.39,14.16,0:00:55,10.58,,,,
,,,0:09:39,0:00:53,10.93,,0:00:57,10.16,,,,
,,50GB,0:19:13,0:01:28,13.1,,0:01:28,13.1,,,,
,,,0:19:15,0:01:27,13.28,,0:01:26,13.43,,,,
,,75GB,0:29:15,0:02:04,14.16,,0:02:02,14.39,,,,
,,,0:29:22,0:02:07,13.87,,0:02:08,13.77,,,,
,Equal Values,25GB,0:08:19,0:01:01,8.18,10.53,0:00:15,33.25,,,,
,,,0:08:18,0:01:00,8.31,,0:00:15,33.23,,,,
,,50GB,0:16:20,0:01:41,9.71,,0:00:14,70.03,,,,
,,,0:16:30,0:01:42,9.7,,0:00:16,61.85,,,,
,,75GB,0:24:51,0:02:24,10.35,,0:00:15,99.39,,,,
,,,0:24:45,0:02:21,10.53,,0:00:14,106.05,,,,
,Equal Frequency,25GB,0:09:37,0:00:56,10.3,14.23,0:01:20,7.21,,,,
,,,0:09:37,0:01:00,9.62,,0:00:55,10.5,,,,
,,50GB,0:19:06,0:01:31,12.59,,0:01:24,13.64,,,,
,,,0:19:02,0:01:30,12.69,,0:01:24,13.6,,,,
,,75GB,0:29:10,0:02:03,14.23,,0:02:01,14.47,,,,
,,,0:29:07,0:02:07,13.75,,0:01:58,14.8,,,,
